nazwa;long;lat;ocena;ilosc_recenzji;adres
Bistro Green Towers;16.9980768;51.112762599999996;3.5;129.0;?ubowa, 53-611 Wroc?w
Mi Lulo;16.9967224;51.113274100000005;4.5;13.0;Strzegomska 36/40, 11-400 Wroc?w
#zjedzburgera;16.999134299999998;51.113282;4.0;162.0;Strzegomska 3B-3C, 53-611 Wroc?w
Hoshi-Sushi;16.9993893;51.11330529999999;4.5;293.0;Strzegomska 3B-3C, 53-611 Wroc?w
Sezonowo;16.9994421;51.113341999999996;3.7;13.0;Strzegomska 3B/3C, 52-007 Wroc?w
Ha-Noi;16.997435999999997;51.1166888;5.0;9.0;Stacyjna 2, 50-001 Wroc?w
Restauracja McDonald's;16.9984566;51.1176409;3.7;232.0;S?bicka 18, 50-001 Wroc?w
Meet & Eat Business Garden;16.9952247;51.1178527;4.5;90.0;Legnicka 48, 50-001 Wroc?w
Art Of Sushi;17.0107174;51.1207099;4.4;79.0;D?ga 68, 50-001 Wroc?w
Bazaar;17.013426199999998;51.1213325;2.5;2.0;D?ga 37/47, 50-001 Wroc?w
Makarun Wroc?w;17.0139533;51.121525299999995;3.6;33.0;Dluga 37/47 (w Tesco Extra), 53-657 Wroc?w
Bar ALFA;16.9900753;51.114203700000004;3.9;27.0;Strzegomska 55, 50-001 Wroc?w
Pizza Hut Wroc?w Magnolia;16.9893928;51.1203968;3.6;172.0;CH Magnolia Park, Legnicka 58, 54-204 Wroc?w
Frankie's;16.9870921;51.11995;4.4;7.0;CH Magnolia Park, Legnicka 58, 54-204 Wroc?w
La Pary?nka Nale?ikarnia;16.9882919;51.1196066;3.8;50.0;CH Magnolia Park, Legnicka 58, 54-204 Wroc?w
Owocowy Raj;16.986714300000003;51.1195211;2.8;8.0;Legnicka 58, 50-001 Wroc?w
Mr Chilly;16.9869631;51.1192768;3.1;28.0;CH Magnolia Park, Legnicka 58, 54-204 Wroc?w
Redberry;16.9865742;51.1190482;5.0;3.0;CH Magnolia Park, Legnicka 58, 54-204 Wroc?w
Kuchnia Marche Magnolia;16.986832;51.1191015;3.8;22.0;CH Magnolia Park, Legnicka 58, 54-204 Wroc?w
Vivian Restaurant - Magnolia;16.986680800000002;51.1191187;4.6;29.0;CH Magnolia Park, Legnicka 58, 54-204 Wroc?w
Vege Life;16.9863536;51.1182988;3.7;20.0;CH Magnolia Park, Legnicka 58, 54-204 Wroc?w
Burger King;16.986012300000002;51.1180856;3.4;58.0;CH Magnolia Park, Legnicka 58, 54-204 Wroc?w
Ohh! Sushi&Grill;16.985621;51.1181132;3.4;27.0;CH Magnolia Park, Legnicka 58, 54-204 Wroc?w
Express Oriental;16.9861392;51.1177562;4.1;32.0;CH Magnolia Park, Legnicka 58, 54-204 Wroc?w
