nazwa;adres;strona_internetowa;lat;long;ocena;ilosc_recenzji;highlights;accessibility;Offerings;Dining_options;Amenities;Atmosphere;Crowd;Payments;open_hours_monday;close_monay;tuesday;close_tue;wednesday;closed_wed;thursday;closed_thu;friday;closed_fri;saturday;closed_sat;sunday;closed_sun;czy_sieciowka
Asia Cusine KimLoe's;plac Solidarno?i 1-3-5, 53-661 Wroc?w;kimloes.pl;51.1130435;"17.0169452	";4,3;50;NaN;NaN;NaN;delivery;NaN;Casual;NaN;NaN;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;11:00:00;19:00:00;11:00:00;19:00:00;1
Sawara Gyros;Legnicka 17, 53-671 Wroc?w;sawara-gyros.pl;51.1132083;"17.0156404	";4,4;234;NaN;Wheelchair accessible entrance;NaN;NaN;Good for kids;Cosy, Casual;Groups;NaN;11:00:00;20:00:00;11:00:00;20:00:00;11:00:00;20:00:00;11:00:00;20:00:00;11:00:00;20:00:00;11:00:00;20:00:00;12:00:00;20:00:00;1
Bar rybny Krab;Sokolnicza 7/17, 53-676 Wroc?w;https://www.facebook.com/BarKrab/;51.1114434;"17.0182073	";4,5;83;NaN;Wheelchair accessible entrance;NaN;NaN;Good for kids;Casual;Groups;NaN;10:00:00;18:00:00;10:00:00;18:00:00;10:00:00;18:00:00;10:00:00;18:00:00;10:00:00;18:00:00;10:00:00;16:00:00;10:00:00;16:00:00;0
Wow Barr Sokolnicza - Thai & Polish Food;Pawilon 5, Sokolnicza 7/17, 53-676 Wroc?w;NaN;51.1113805;"17.0179433	";4,9;8;NaN;Wheelchair accessible entrance;NaN;delivery;NaN;Casual;NaN;NaN;closed;Closed;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;13:00:00;22:00:00;13:00:00;22:00:00;0
Poci?ij Pizz?l. Sokolnicza 7-17 paw. 31, 53-676 Wroc?w;pocisnijpizze.pl;NaN;51.1111293;"17.0177903	";2,7;38;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;18:00:00;03:00:00;18:00:00;03:00:00;18:00:00;03:00:00;18:00:00;03:00:00;18:00:00;04:00:00;16:30:00;04:00:00;16:30:00;03:00:00;0
Etna Pizzeria.;Sokolnicza 7/17, 11-400 Wroc?w;etna-pizza.pl;51.111192;"17.017493	";2,7;139;NaN;NaN;NaN;delivery;NaN;Casual;Groups;NaN;10:00:00;22:00:00;10:00:00;23:00:00;10:00:00;23:00:00;10:00:00;23:00:00;10:00:00;23:00:00;10:00:00;23:00:00;10:00:00;22:00:00;0
Pierogarnia Kuchnia Domowa;Legnicka 23, 53-671 Wroc?w;kuchnia.wroclaw.pl;51.1131857;"17.0123291	";4,1;61;NaN;NaN;NaN;NaN;toilet;Cosy, Casual;NaN;NaN;10:00:00;19:00:00;10:00:00;19:00:00;10:00:00;19:00:00;10:00:00;19:00:00;10:00:00;19:00:00;10:00:00;17:00:00;closed;Closed;0
Restauracja Hong Ha (Poznaj Wietnam od kuchni);Legnicka 32, 11-400 Wroc?w;https://www.facebook.com/Rest.HongHa/;51.1124081;"17.0105632	";4,3;100;NaN;Wheelchair accessible entrance;beer;delivery;Good for kids;Cosy, Casual;Family friendly, Groups;NaN;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;0
Brat wur01:00;Braniborska 87, 11-400 Wroc?w;https://www.facebook.com/bratwur01:00/;51.1122914;"17.0047774	";3,9;8;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;08:00:00;19:00:00;08:00:00;19:00:00;08:00:00;19:00:00;08:00:00;19:00:00;08:00:00;19:00:00;closed;Closed;closed;Closed;1
Cantone Pizza;?inawska, 53-648 Wroc?w;cantonepizza.pl;51.1176989;"17.0109458	";4,5;26;NaN;NaN;Late-night food, Kids' menu, salad;dinner, supper,catering, delivery;do_karmienia, Good for kids, toilet;Casual;Family friendly;debit card;closed;Closed;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;00:00:00;12:00:00;00:00:00;12:00:00;22:00:00;0
Restauracja McDonald's;Ksi?a Witolda 6, 50-001 Wroc?w;mcdonalds.pl;51.1163122;"17.0220007	";3,8;739;garden;Wheelchair accessible entrance;Late-night food, Kids' menu;dinner, supper,breakfast, dessert;do_karmienia, Good for kids, toilet;Casual;Groups;debit card;07:00:00;00:00:00;07:00:00;00:00:00;07:00:00;00:00:00;07:00:00;00:00:00;07:00:00;00:00:00;08:00:00;00:00:00;08:00:00;00:00:00;1
Cardamon;Strzegomska 2, 54-430 Wroc?w;NaN;51.1118181;"17.0026141	";4,5;31;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;08:00:00;17:00:00;08:00:00;17:00:00;08:00:00;17:00:00;08:00:00;17:00:00;08:00:00;17:00:00;closed;NaN;closed;Closed;0
Bistro Green Towers;?ubowa, 53-611 Wroc?w;bistrogreentowers.pl;51.1127626;"16.9980768	";3,5;129;NaN;Wheelchair accessible entrance; All you can eat ;NaN;NaN;Casual;Groups;NaN;09:00:00;16:00:00;09:00:00;16:00:00;09:00:00;16:00:00;09:00:00;16:00:00;09:00:00;16:00:00;closed;NaN;closed;Closed;0
Mi Lulo;Strzegomska 36/40, 11-400 Wroc?w;https://www.facebook.com/TwojeMiLulo;51.1132741;"16.9967224	";4,5;13;NaN;NaN;NaN;NaN;NaN;Cosy, Casual;NaN;NaN;09:00:00;19:00:00;09:00:00;19:00:00;09:00:00;19:00:00;09:00:00;19:00:00;09:00:00;19:00:00;09:00:00;16:00:00;closed;Closed;0
#zjedzburgera;Strzegomska 3B-3C, 53-611 Wroc?w;zjedzburgera.pl;51.113282;"16.9991343	";4;162;NaN;NaN;NaN;delivery;NaN;Cosy, Casual;NaN;NaN;07:30:00;20:00:00;07:30:00;20:00:00;07:30:00;20:00:00;07:30:00;20:00:00;07:30:00;20:00:00;11:00:00;20:00:00;closed;Closed;1
Hoshi-Sushi;Strzegomska 3B-3C, 53-611 Wroc?w;hoshi-sushi.com.pl;51.1133053;"16.9993893	";4,5;293;NaN;Wheelchair accessible entrance;NaN;delivery;NaN;Cosy, Casual;NaN;NaN;12:00:00;21:00:00;12:00:00;21:00:00;12:00:00;21:00:00;12:00:00;21:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;21:00:00;0
Sezonowo;Strzegomska 3B/3C, 52-007 Wroc?w;https://www.facebook.com/BarSezonowo/;51.113342;"16.9994421	";3,7;13;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;11:00:00;16:00:00;11:00:00;16:00:00;11:00:00;16:00:00;11:00:00;16:00:00;11:00:00;16:00:00;closed;Closed;closed;Closed;0
Ha-Noi;Stacyjna 2, 50-001 Wroc?w;ha-noi.com.pl;51.1166888;"16.997436	";5;9;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;11:00:00;21:00:00;11:00:00;21:00:00;11:00:00;21:00:00;11:00:00;21:00:00;11:00:00;21:00:00;11:00:00;21:00:00;11:00:00;21:00:00;1
Restauracja McDonald's;S?bicka 18, 50-001 Wroc?w;mcdonalds.pl;51.1176409;"16.9984566	";3,7;232;garden;Wheelchair accessible toilet, Wheelchair accessible entrance;Kids' menu, Late-night food;dinner, supper,breakfast, dessert;do_karmienia, Good for kids, toilet;Cosy, Casual;Groups;NFC,debit card;06:30:00;23:00:00;06:30:00;23:00:00;06:30:00;23:00:00;06:30:00;23:00:00;06:30:00;23:00:00;08:00:00;23:00:00;08:00:00;23:00:00;1
Meet & Eat Business Garden;Legnicka 48, 50-001 Wroc?w;meet-and-eat.pl;51.1178527;"16.9952247	";4,5;90;NaN;Wheelchair accessible entrance;vegan;dinner, supper,breakfast, dessert;toilet;Cosy, Casual;Groups;NaN;07:30:00;16:00:00;07:30:00;16:00:00;07:30:00;16:00:00;07:30:00;16:00:00;07:30:00;16:00:00;closed;Closed;closed;Closed;0
Art Of Sushi;D?ga 68, 50-001 Wroc?w;art-of-sushi.pl;51.1207099;"17.0107174	";4,4;79;NaN;Wheelchair accessible entrance;NaN;delivery;NaN;Cosy, Casual;Groups;NaN;closed;Closed;12:00:00;21:00:00;12:00:00;21:00:00;12:00:00;21:00:00;12:00:00;21:00:00;12:00:00;21:00:00;12:00:00;21:00:00;0
Bazaar;D?ga 37/47, 50-001 Wroc?w;bazaarwroclaw.pl;51.1213325;"17.0134262	";2,5;2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
Makarun Wroc?w;Dluga 37/47 (w Tesco Extra), 53-657 Wroc?w;makarun.pl;51.1215253;"17.0139533	";3,6;33;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;10:00:00;18:00:00;1
