nazwa;adres;strona_internetowa;lat;long;ocena;ilosc_recenzji;highlights;accessibility;Offerings;Dining_options;Amenities;Atmosphere;Crowd;Payments;open_hours_monday;close_monay;tuesday;close_tue;wednesday;closed_wed;thursday;closed_thu;friday;closed_fri;saturday;closed_sat;sunday;closed_sun;czy_sieciowka
Food Box Pizza&Pasta;04:00ska 11A, 54-210 Wroc?w;foodboxwro.com;51.1223819;"16.9792078	";4,4;38;NaN;NaN;NaN;delivery;NaN;Casual;NaN;NaN;closed;Closed;closed;Closed;12:00:00;21:00:00;12:00:00;21:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;0
Bistro Bar Tymianek;04:00ska 5, 50-001 Wroc?w;https://www.facebook.com/Bistro-Bar-Tymianek-515086388534471/;51.1240707;"16.9798581	";4,6;18;NaN;Wheelchair accessible entrance;NaN;NaN;NaN;Cosy, Casual;NaN;NaN;09:00:00;17:00:00;09:00:00;17:00:00;09:00:00;17:00:00;09:00:00;17:00:00;09:00:00;17:00:00;closed;Closed;closed;Closed;0
LeSer;Wejherowska 19a, 54-239 Wroc?w;leserwro.pl;51.1260889;"16.983388	";4,4;145;NaN;Wheelchair accessible entrance;NaN;dinner, supper, delivery;Good for kids;Cosy, Casual;Family friendly, Groups;NaN;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;0
Kozacka Chatka;Wejherowska 19a, 54-239 Wroc?w;kozackachatka.pl;51.1263469;"16.9831507	";4,3;150;NaN;NaN;vegan;delivery;Good for kids;Casual;NaN;NaN;10:00:00;19:00:00;10:00:00;19:00:00;10:00:00;19:00:00;10:00:00;19:00:00;10:00:00;19:00:00;12:00:00;18:00:00;12:00:00;18:00:00;0
Burgery z Pakamery;Lotnicza 14, 54-155 Wroc?w;https://www.facebook.com/BurgeryZPakamery/;51.127378;"16.9748493	";4,8;4;garden;NaN;NaN;dinner;NaN;Casual;NaN;NFC, debit card;11:00:00;16:00:00;11:00:00;16:00:00;11:00:00;16:00:00;11:00:00;16:00:00;11:00:00;16:00:00;closed;Closed;closed;Closed;0
Pizzeria Bravo;Szybowcowa 1, 54-130 Wroc?w;bravo.wroclaw.pl;51.127378;"16.9748493	";3,3;239;NaN;Wheelchair accessible entrance;NaN;delivery;Good for kids;Cosy, Casual;Groups;NaN;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;1
Bar Karmazyn;Horbaczewskiego 4/6, 50-001 Wroc?w;bar-karmazyn.pl;51.1266502;"16.9742439	";3,4;24;NaN;Wheelchair accessible entrance;NaN;NaN;Good for kids;Casual;Groups;NaN;10:00:00;19:00:00;10:00:00;19:00:00;10:00:00;19:00:00;10:00:00;19:00:00;10:00:00;19:00:00;10:00:00;18:00:00;10:00:00;17:00:00;0
Bar Astra;Horbaczewskiego 4/6, 50-001 Wroc?w;NaN;51.1266801;"16.9737824	";2,8;4;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;09:00:00;19:30:00;09:00:00;19:30:00;09:00:00;19:30:00;09:00:00;19:30:00;09:00:00;19:30:00;09:00:00;15:30:00;closed;NaN;0
Monster Cook;Horbaczewskiego 4/6, 50-001 Wroc?w;https://www.facebook.com/monstrecook/;51.1268252;"16.9735204	";4,2;4;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
Pizza Hut Wroc?w Astra;Horbaczewskiego 4/6, 54-130 Wroc?w;pizzahut.pl;51.1266365;"16.9735023	";2,4;7;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1
Dobra Pizza Ristorante&Pizza;Bulwar Ikara 13-15 pasa?s?neczny, 54-130 Wroc?w;dobrapizza.pl;51.1259773;"16.9700713	";3,9;267;NaN;Wheelchair accessible entrance;NaN;delivery;NaN;Cosy, Casual;Groups;NaN;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;12:00:00;00:00:00;12:00:00;21:00:00;0
Telepizza - pizza Wroc?w;Horbaczewskiego 21a, 50-001 Wroc?w;telepizza.pl;51.1256817;"16.971143	";2,9;49;NaN;NaN;salad, Happy hour food;breakfast,  supper, catering, dessert, delivery;Good for kids;Casual;NaN;NaN;10:00:00;00:00:00;10:00:00;00:00:00;10:00:00;00:00:00;10:00:00;00:00:00;10:00:00;01:00:00;10:00:00;01:00:00;10:00:00;00:00:00;1
Restauracja Orbita;Wejherowska 34, 54-239 Wroc?w;NaN;51.1318663;"16.9851693	";3,5;16;NaN;Wheelchair accessible entrance;beer, wine, All you can eat ;NaN;NaN;Casual;Groups;NaN;07:00:00;22:00:00;07:00:00;22:00:00;07:00:00;22:00:00;07:00:00;22:00:00;07:00:00;22:00:00;07:00:00;22:00:00;07:00:00;21:00:00;0
Lido. Pizzeria;Dziadosza?? 48, 54-153 Wroc?w;pizzerialido.pl;51.13745;"16.9780155	";3,8;87;NaN;Wheelchair accessible entrance;NaN;delivery;NaN;Cosy, Casual;Groups;NaN;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;0
PIZZAMOBILE;Bajana 1, 54-129 Wroc?w;pizzamobile.pl;51.1305727;"16.9621946	";4,2;62;NaN;Wheelchair accessible entrance;Late-night food;delivery;NaN;Casual;NaN;NaN;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;0
Bar Kuchcik;Bajana 1/101, 50-001 Wroc?w;NaN;51.1305404;"16.9627109	";4,4;12;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;18:00:00;10:00:00;16:00:00;0
Madagaskar;Bajana 1, 54-130 Wroc?w;madagaskar-net.pl;51.1303763;"16.9632425	";4,5;147;NaN;Wheelchair accessible entrance;NaN;NaN;NaN;Cosy, Casual;Groups;NaN;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;16:00:00;0
Dobra Karma;Ko?iuszki 23, 11-400 Wroc?w;NaN;51.10254;17.0315337;4,3;311;Great cocktails, live music;Wheelchair accessible entrance;Beer,Kids' menu,Late-night food,Organic dishes,Vegetarian options,Wine;Breakfast,Lunch,Dinner,Catering,dessert,Seating;Bar onsite,Good for kids,High chairs,toilet,Wi-Fi;Casual,Cosy;Family friendly,Groups;debit card,Credit cards;10:00:00;00:00:00;10:00:00;00:00:00;10:00:00;00:00:00;10:00:00;00:00:00;10:00:00;00:00:00;09:00:00;22:00:00;09:00:00;22:00:00;0
Pizzeria Si;Wojciecha Bogus?wskiego 89, 50-031 Wroc?w;NaN;51.0999475;17.0298801;4,7;538;Outdoor seating;NaN;Beer;Lunch,Dinner,Seating;Bar onsite,Good for kids;Casual,Cosy;Family friendly;NaN;12:00:00;23:30:00;12:00:00;23:30:00;12:00:00;23:30:00;12:00:00;23:30:00;12:00:00;23:30:00;12:00:00;23:30:00;12:00:00;23:30:00;0
Pizzeria  Taormina;Januszowicka 11, 11-400 Wroc?w;pizzeria-taormina.com;51.0829487;17.0123304;4;191;NaN;Wheelchair accessible entrance;Kids' menu,Vegetarian options;delivery;Good for kids;Casual,Cosy;Groups;NaN;NaN;NaN;12:00:00;23:00:00;12:00:00;23:00:00;12:00:00;23:00:00;12:00:00;23:00:00;12:00:00;23:00:00;12:00:00;23:00:00;0
Confectionery Krzycka Sikorscy;Sokola 52, 11-400 Wroc?w;cukiernia-krzycka.wroclaw.pl;51.0818661;17.0104247;4,6;70;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;09:00:00;19:00:00;09:00:00;19:00:00;09:00:00;19:00:00;09:00:00;19:00:00;09:00:00;19:00:00;09:00:00;19:00:00;10:00:00;17:00:00;0
Agawa;Andrzeja Walig??iego 1, 53-141 Wroc?w;restauracja-wroclaw.pl;51.0751564;17.0094048;3,9;296;Great cocktails;Wheelchair accessible entrance;NaN;NaN;Bar onsite,Good for kids;Casual,Cosy;Groups;NaN;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;10:00:00;22:00:00;10:00:00;22:00:00;0
Antresola by nigdy nie zapomne;Zwyci?a 14f, 53-033 Wroc?w;antresola.wroclaw.pl;51.0582335;17.0128495;4,5;137;NaN;Wheelchair accessible entrance;Beer,Wine;NaN;Good for kids;Casual,Cosy;Groups;NaN;01:00:00;10:00:00;13:00:00;22:00:00;13:00:00;22:00:00;13:00:00;22:00:00;13:00:00;22:00:00;13:00:00;22:00:00;13:00:00;21:00:00;0
Pepe Ristorante;Bart?mieja Strachowskiego 12, 52-210 Wroc?w;pepepizza.pl;51.0579284;17.0188469;4,3;325;Great cocktails;Wheelchair accessible entrance;Late-night food,Vegetarian options;delivery;Good for kids;Casual,Cosy;Groups;NaN;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;23:00:00;12:00:00;23:00:00;12:00:00;22:00:00;1
Stodo?;52-210, Bart?mieja Strachowskiego 31, 50-001 Wroc?w;stodolawroclaw.pl;51.0572718;17.0200324;4,1;146;NaN;Wheelchair accessible entrance;Beer,Kids' menu,Late-night food,Wine;delivery;Bar onsite,Good for kids;Casual,Cosy;Groups;NaN;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;0
Gospoda O?aszy??;Kutrzeby 3, 52-007 Wroc?w;NaN;51.0564339;17.0217618;4,1;21;Fireplace,Outdoor seating;Wheelchair accessible entrance;Beer,Kids' menu,Late-night food,Vegetarian options,Wine;Catering,Seating;Bar onsite,Good for kids;Casual,Cosy;Family friendly,Groups;cash;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0
Wo?wina;Bart?mieja Strachowskiego 7a, 50-001 Wroc?w;wolawina.pl;51.05661;17.0239102;4,1;112;Great cocktails;Wheelchair accessible entrance;Beer,Kids' menu,Late-night food,Wine;NaN;Bar onsite;Casual,Cosy;Groups;NaN;09:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;0
Kiss The Cook;Borowska 266, 11-400 Wroc?w;kissthecook.pl;51.0718212;17.0330907;4,4;248;Great cocktails;Wheelchair accessible entrance;Beer,Kids' menu,Late-night food,Vegetarian options,Wine;delivery;Bar onsite,Good for kids;Casual,Cosy;NaN;NaN;09:00:00;22:00:00;09:00:00;22:00:00;09:00:00;22:00:00;09:00:00;22:00:00;09:00:00;22:00:00;09:00:00;22:00:00;09:00:00;22:00:00;0
Pinola;?ieradowska 51/57, 50-559 Wroc?w;NaN;51.0762779;17.0424731;4,5;222;Great cocktails;Wheelchair accessible entrance;Beer,Kids' menu,Late-night food,Wine;NaN;Bar onsite,Good for kids;Casual,Cosy;Groups;NaN;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;0
Osiem Misek;Borowska 116, 50-552 Wroc?w;osiemmisek.pl;51.0844411;17.0355678;4,7;557;NaN;Wheelchair accessible entrance;NaN;NaN;NaN;Casual,Cosy;NaN;NaN;12:00:00;20:00:00;12:00:00;20:00:00;12:00:00;20:00:00;12:00:00;20:00:00;12:00:00;20:00:00;12:00:00;20:00:00;12:00:00;19:00:00;1
Siesta Trattoria;?iczna 22A/5, 11-400 Wroc?w;siestatrattoria.pl;51.085313;17.0375124;4,6;755;NaN;Wheelchair accessible entrance;Kids' menu;NaN;Good for kids;Casual,Cosy;Groups;NaN;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;0
Great House;Borowska 102/104, 11-400 Wroc?w;casagrande.pl;51.0853913;17.0357609;4,1;193;NaN;Wheelchair accessible entrance;NaN;delivery;Good for kids;Casual,Cosy;Groups;NaN;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;0
Center Pizza;?iczna 22a/8, 50-566 Wroc?w;center-pizza.pl;51.0851791;17.0379844;2,4;136;NaN;NaN;Happy hour food;delivery;NaN;Casual;Family friendly;NaN;12:00:00;02:00:00;12:00:00;02:00:00;12:00:00;02:00:00;12:00:00;02:00:00;12:00:00;02:00:00;12:00:00;02:00:00;12:00:00;02:00:00;0
Party Pizza;Wieczysta 113C, 50-550 Wroc?w;partypizza.pl;51.0867114;17.0405889;3,6;72;NaN;NaN;NaN;delivery;NaN;Casual;NaN;NaN;11:00:00;23:00:00;11:00:00;23:00:00;11:00:00;23:00:00;11:00:00;23:00:00;11:00:00;01:00:00;11:00:00;01:00:00;11:00:00;23:00:00;1
Pizza Hut;Kamienna 145, 50-001 Wroc?w;pizzahut.pl;51.0855093;17.0457843;3,2;120;NaN;Wheelchair accessible entrance;Kids' menu,Late-night food,Vegetarian options;Lunch,Dinner,delivery;NaN;Casual;NaN;debit card;11:00:00;23:00:00;11:00:00;23:00:00;11:00:00;23:00:00;11:00:00;23:00:00;11:00:00;00:00:00;11:00:00;00:00:00;11:00:00;23:00:00;1
Pizza Station;Widna 6, 50-996 Wroc?w;pizzastation.pl;51.0833737;17.0455536;3,8;85;NaN;Wheelchair accessible entrance;NaN;delivery;NaN;Casual;NaN;NaN;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;1
Pizzeria Stopiatka;aleja Armii Krajowej 8B, 50-541 Wroc?w;105.pl;51.083666;17.0382366;4,1;34;NaN;NaN;NaN;delivery;NaN;Casual;NaN;NaN;17:00:00;03:00:00;17:00:00;03:00:00;17:00:00;03:00:00;17:00:00;03:00:00;17:00:00;03:00:00;12:00:00;03:00:00;12:00:00;03:00:00;1
Pizzeria Taormina;?dzka 25, 50-001 Wroc?w;pizzeria-taormina.com;51.0907363;17.0374654;3,4;182;NaN;NaN;NaN;delivery;NaN;Casual;NaN;NaN;11:00:00;23:00:00;11:00:00;23:00:00;11:00:00;23:00:00;11:00:00;23:00:00;11:00:00;00:00:00;11:00:00;00:00:00;11:00:00;23:00:00;1
Pizza Express Gyros & Kebab;Weso? 2/1a, 50-535 Wroc?w;express-pizzeria.pl;51.0915542;17.0341153;3,8;209;NaN;Wheelchair accessible entrance;NaN;delivery;NaN;Casual;Groups;NaN;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;11:00:00;23:00:00;11:00:00;23:00:00;11:00:00;22:00:00;0
Luxor Kebab;Borowska 44, 50-557 Wroc?w;NaN;51.0917921;17.0340362;3,6;163;Live music;NaN;Late-night food,Vegetarian options;delivery,dessert,Seating;NaN;Casual;Family friendly;NaN;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;11:00:00;22:00:00;1
Express Oriental;CH Wroclavia, Sucha 1, 50-086 Wroc?w;NaN;51.0958165;17.0336654;3,8;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;09:00:00;22:00:00;09:00:00;22:00:00;09:00:00;22:00:00;09:00:00;22:00:00;09:00:00;22:00:00;09:00:00;22:00:00;09:00:00;22:00:00;1
Izumi Sushi;Wroclaw;NaN;51.0959997;17.0340436;3,4;25;NaN;Wheelchair accessible entrance;NaN;NaN;Bar Onsite;Casual,Cosy;Groups;NaN;09:00:00;22:00:00;09:00:00;22:00:00;09:00:00;22:00:00;09:00:00;22:00:00;09:00:00;22:00:00;09:00:00;22:00:00;09:00:00;22:00:00;1
Pasibus;Wroclaw;NaN;51.0962334;17.0337861;4,5;63;NaN;Wheelchair accessible entrance;Beer,Vegetarian options;Lunch,Dinner,dessert,Seating;Bar onsite,Good for kids,High chairs;Casual;Family friendly;cash,debit card;09:00:00;22:00:00;09:00:00;22:00:00;09:00:00;22:00:00;09:00:00;22:00:00;09:00:00;22:00:00;09:00:00;22:00:00;09:00:00;22:00:00;1
Ekspress Kuchnia Marche;Po?dnie, 50-001, 11-400 Wroc?w;NaN;51.0966924;17.0335715;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;1
KFC;Sucha 2, 50-086 Wroc?w;kfc.pl;51.0969704;17.0335729;3,1;14;NaN;Wheelchair accessible,Wheelchair accessible car park,Wheelchair accessible entrance,Wheelchair accessible lift,Wheelchair accessible seating,Wheelchair accessible toilet;NaN;Lunch,Dinner;Good for kids;Casual;Groups;debit card;08:30:00;22:30:00;08:30:00;22:30:00;08:30:00;22:30:00;08:30:00;22:30:00;08:30:00;23:00:00;08:30:00;23:00:00;08:30:00;22:30:00;1
Food Republik;CH Wroclavia, Sucha 1, 50-086 Wroc?w;NaN;51.0969485;17.0338773;3,2;16;NaN;Wheelchair accessible entrance;NaN;NaN;Bar Onsite;Casual;Groups;NaN;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;1
Doner Kebab;CH Wroclavia, Sucha 1, 50-086 Wroc?w;NaN;51.0965703;17.0344667;1,5;13;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;09:00:00;21:00:00;1
McDonalds;Pi?udskiego 105, 50-085 Wroc?w;mcdonalds.pl;51.0988838;17.0362115;3,8;246;Outdoor seating;Wheelchair accessible entrance,Wheelchair accessible toilet;Kids' menu,Late-night food,Vegetarian options;Breakfast,Lunch,Dinner,dessert;Good for kids,High chairs,toilet;Casual;Groups;debit card,nfc;04:00:00;00:00:00;04:00:00;00:00:00;04:00:00;00:00:00;04:00:00;01:00:00;04:00:00;01:00:00;04:00:00;01:00:00;04:00:00;00:00:00;1
KFC;Pi?udskiego 105, 50-085 Wroc?w;kfc.pl;51.098789;17.036995;3,5;184;NaN;Wheelchair accessible car park,Wheelchair accessible entrance,Wheelchair accessible toilet;Kids' menu,Late-night food;Breakfast,Lunch,Dinner,dessert;Good for kids,High chairs,toilet;Casual;Groups;debit card;03:00:00;02:00:00;03:00:00;02:00:00;03:00:00;02:00:00;03:00:00;02:00:00;03:00:00;02:00:00;03:00:00;02:00:00;03:00:00;02:00:00;1
Bistro Station;Pi?udskiego 98, 50-017 Wroc?w;bistro-station.business.site;51.100165;17.0355631;4,3;64;NaN;Wheelchair accessible entrance;Beer,Vegetarian options,Wine;NaN;Good for kids;Casual,Cosy;Groups;NaN;11:00:00;20:00:00;11:00:00;20:00:00;11:00:00;20:00:00;11:00:00;20:00:00;11:00:00;20:00:00;11:00:00;20:00:00;11:00:00;20:00:00;1
Magia Smaku;Pi?udskiego 86A, 50-020 Wroc?w;NaN;51.1005589;17.0339772;3,9;28;NaN;NaN;NaN;NaN;toilet;Casual;Groups;NaN;09:00:00;18:00:00;09:00:00;18:00:00;09:00:00;18:00:00;09:00:00;18:00:00;09:00:00;18:00:00;NaN;NaN;NaN;NaN;0
Kawiarnia Europejska;Pi?udskiego 88, 50-017 Wroc?w;kawiarniaeuropejska.pl;51.1003707;17.0344855;3,8;18;NaN;NaN;Beer,Wine;NaN;Bar onsite;Casual,Cosy;Groups;NaN;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;10:00:00;20:00:00;0
Abradable;Ko??aja 26, 50-007 Wroc?w;abradable.pl;51.1018352;17.0368653;4;310;NaN;Wheelchair accessible entrance;Beer;delivery;Bar onsite,Good for kids;Casual;Groups;NaN;10:00:00;22:00:00;10:00:00;22:00:00;10:00:00;22:00:00;10:00:00;22:00:00;10:00:00;22:00:00;10:00:00;22:00:00;10:00:00;22:00:00;0
Bar Ma?;Ko??aja 27, 50-004 Wroc?w;NaN;51.1022499;17.0369813;4,1;38;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;11:00:00;20:00:00;11:00:00;20:00:00;11:00:00;20:00:00;11:00:00;20:00:00;11:00:00;20:00:00;11:00:00;19:00:00;NaN;NaN;0
Pizzeria Roma;Ko??aja 29, 50-007 Wroc?w;pizzeriaroma.eu;51.1026344;17.0370832;3,9;151;NaN;NaN;NaN;delivery;Good for kids;Casual,Cosy;Groups;NaN;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;13:00:00;22:00:00;13:00:00;22:00:00;0
Dominos Pizza;Ko?iuszki 83, 11-400 Wroc?w;dominospizza.pl;51.1007892;17.0413164;4;109;NaN;NaN;NaN;delivery;NaN;Casual;NaN;NaN;11:00:00;23:00:00;11:00:00;23:00:00;11:00:00;23:00:00;11:00:00;23:00:00;11:00:00;00:00:00;11:00:00;00:00:00;11:00:00;23:00:00;1
Bistro Ko?iuszki;Ko?iuszki 80, 50-441 Wroc?w;bistro-kosciuszki.pl;51.1012331;17.0407853;3,6;7;Women-led;NaN;Organic dishes,Vegetarian options;Lunch,Dinner,dessert,Seating;High chairs,Wi-Fi;Casual;NaN;Credit Cards;12:00:00;20:00:00;12:00:00;20:00:00;12:00:00;20:00:00;12:00:00;20:00:00;12:00:00;20:00:00;NaN;NaN;NaN;NaN;0
Folgujemy;Kniaziewicza 16, 11-400 Wroc?w;NaN;51.1018845;17.0423236;4,6;186;NaN;Wheelchair accessible entrance;NaN;NaN;Good for kids;Casual,Cosy;Groups;NaN;08:00:00;19:00:00;08:00:00;19:00:00;08:00:00;19:00:00;08:00:00;19:00:00;08:00:00;20:00:00;08:00:00;20:00:00;08:00:00;19:00:00;0
Bar Detes;Kniaziewicza 9, 50-001 Wroc?w;bar-detes.business.site;51.102039;17.0412071;4,3;47;NaN;Wheelchair accessible entrance;NaN;NaN;Good for kids;Casual,Cosy;NaN;NaN;09:00:00;19:00:00;09:00:00;19:00:00;09:00:00;19:00:00;09:00:00;19:00:00;09:00:00;19:00:00;11:00:00;16:30:00;NaN;NaN;0
Bar Mleczny;Genera? Romualda Traugutta 81, 11-400 Wroc?w;NaN;51.1022369;17.0514169;4,4;49;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;09:00:00;19:00:00;09:00:00;19:00:00;09:00:00;19:00:00;09:00:00;19:00:00;09:00:00;19:00:00;10:00:00;16:00:00;NaN;NaN;0
Chi?? Wiatr;Genera? Romualda Traugutta 104, 50-001 Wroc?w;NaN;51.1009379;17.0535111;4,1;171;NaN;NaN;Beer,Wine;dessert;Good for kids;Casual,Cosy;Family friendly,Groups;debit card;12:00:00;21:00:00;12:00:00;21:00:00;12:00:00;21:00:00;12:00:00;21:00:00;12:00:00;21:00:00;12:00:00;21:00:00;12:00:00;21:00:00;0
Gruby Benek;147, Ko?iuszki, 11-400 Wroc?w;grubybenek.pl;51.0988531;17.050621;3,2;213;NaN;NaN;NaN;delivery;NaN;Casual;Groups;NaN;12:00:00;00:00:00;12:00:00;00:00:00;12:00:00;00:00:00;12:00:00;02:00:00;12:00:00;02:00:00;12:00:00;02:00:00;12:00:00;00:00:00;0
McDonalds;Krakowska 6/7, 50-001 Wroc?w;mcdonalds.pl;51.0957845;17.0562114;4,2;571;Outdoor seating;Wheelchair accessible car park,Wheelchair accessible entrance,Wheelchair accessible toilet;Kids' menu,Late-night food;Breakfast,Lunch,Dinner,dessert;Good for kids,High chairs,toilet;Casual;Groups;debit card;07:00:00;01:00:00;07:00:00;01:00:00;07:00:00;01:00:00;07:00:00;01:00:00;07:00:00;01:00:00;07:00:00;01:00:00;07:00:00;01:00:00;1
KempaFood SteakHouse;50-428, Krakowska 141, 50-001 Wroc?w;restauracjakempa.pl;51.0829116;17.0744665;4,1;143;NaN;Wheelchair accessible entrance;Beer,Wine;NaN;Bar onsite;Casual,Cosy;Groups;NaN;08:00:00;20:00:00;08:00:00;20:00:00;08:00:00;20:00:00;08:00:00;20:00:00;08:00:00;20:00:00;12:00:00;20:00:00;12:00:00;20:00:00;0
Pietro Pan Pizza;Opolska 33, 50-001 Wroc?w;pietropanpizza.pl;51.0792774;17.0814013;3,4;101;NaN;NaN;NaN;delivery;NaN;Casual;NaN;NaN;12:00:00;23:00:00;12:00:00;23:00:00;12:00:00;23:00:00;12:00:00;23:00:00;12:00:00;23:00:00;12:00:00;23:00:00;12:00:00;23:00:00;0
Pizza Ciao Ciao Ksi? Ma?;Tarnog??a 1, 52-021 Wroc?w;pizzaciaociao.pl;51.074896;17.0852852;4,1;49;NaN;Wheelchair accessible entrance;NaN;delivery;Good for kids;Casual,Cosy;NaN;NaN;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;12:00:00;22:00:00;1
Kalimera;aleja Armii Krajowej 14c/1, 53-041 Wroc?w;pizzeriakalimera.pl;51.0837494;17.0393577;3,5;91;NaN;Wheelchair accessible entrance;NaN;delivery;NaN;Casual,Cosy;NaN;NaN;20:00:00;03:00:00;20:00:00;03:00:00;20:00:00;03:00:00;20:00:00;03:00:00;20:00:00;03:00:00;20:00:00;03:00:00;20:00:00;03:00:00;0
McDonalds;Bardzka 3, 50-516 Wroc?w;mcdonalds.pl;51.082385;17.0487676;4,1;1122;Outdoor seating;Wheelchair accessible car park,Wheelchair accessible entrance,Wheelchair accessible seating,Wheelchair accessible toilet,;Kids' menu,Late-night food;Breakfast,Lunch,Dinner,dessert;Good for kids,High chairs,toilet;Casual,Cosy;Groups;debit card;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1
Karczma Katarzyna;G?wna 28, 55-010 ?i? Katarzyna;karczmakatarzyna.pl;51.0303226;17.1207091;4,5;188;NaN;NaN;Beer,Wine;NaN;Bar onsite,Good for kids;Casual,Cosy;Groups;NaN;13:00:00;22:00:00;13:00:00;22:00:00;13:00:00;22:00:00;13:00:00;22:00:00;13:00:00;22:00:00;13:00:00;22:00:00;13:00:00;22:00:00;0
Karczma Pa?ik;Strzeli?? 8, 55-010 ?rniki Wroc?wskie;NaN;51.0316249;17.0646966;4,4;162;Great cocktails;Wheelchair accessible entrance;Beer,Wine;NaN;Bar onsite,Good for kids;Casual,Cosy;Groups;NaN;12:00:00;21:00:00;12:00:00;21:00:00;12:00:00;21:00:00;12:00:00;21:00:00;12:00:00;21:00:00;12:00:00;21:00:00;12:00:00;21:00:00;0
